energy_mev,n_events,entries,mean_mm,quantile_used,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,in_fit_exclude_band,geometry_saturated
3560,10000,7648745935,1603.899,0.9999,7900.000,8690.000,11600.000,0,0,0
3600,10000,7734431770,1613.941,0.9999,8000.000,8800.000,12000.000,0,0,0
3640,10000,7820135700,1618.463,0.9999,8000.000,8800.000,11500.000,0,0,0
3680,10000,7906209432,1621.008,0.9999,7900.000,8690.000,11500.000,0,0,0
3720,10000,7991892632,1630.597,0.9999,8100.000,8910.000,11200.000,0,0,0
3760,10000,8078658559,1629.105,0.9999,8100.000,8910.000,12400.000,0,0,0
3800,10000,8164470802,1632.267,0.9999,8000.000,8800.000,11900.000,0,0,0
3840,10000,8249896872,1632.226,0.9999,7900.000,8690.000,11600.000,0,0,0
3880,10000,8336332994,1642.641,0.9999,8100.000,8910.000,11900.000,0,0,0
3920,10000,8421491709,1642.476,0.9999,8100.000,8910.000,12200.000,0,0,0
3960,10000,8507744286,1644.178,0.9999,8100.000,8910.000,10900.000,0,0,0
4000,10000,8593304935,1650.498,0.9999,8100.000,8910.000,11200.000,0,0,0
4050,10000,8701182606,1654.513,0.9999,8000.000,8800.000,13200.000,0,0,0
4100,10000,8808849902,1656.945,0.9999,8000.000,8800.000,11500.000,0,0,0
4150,10002,8917296639,1666.877,0.9999,8400.000,9240.000,11800.000,0,0,0
4200,10002,9025887156,1672.394,0.9999,8000.000,8800.000,11800.000,0,0,0
4250,10002,9132651612,1675.405,0.9999,8000.000,8800.000,11700.000,0,0,0
4300,10002,9240989577,1677.574,0.9999,7900.000,8690.000,11600.000,0,0,0
4350,10002,9347786169,1684.475,0.9999,8100.000,8910.000,14700.000,0,0,0
4400,10002,9455234022,1688.510,0.9999,8100.000,8910.000,11700.000,0,0,0
4450,10002,9562344689,1691.630,0.9999,8300.000,9130.000,11500.000,0,0,0
4500,10002,9670074944,1692.908,0.9999,8100.000,8910.000,11800.000,0,0,0
4550,10002,9777123952,1693.751,0.9999,8200.000,9020.000,15500.000,0,0,0
4600,10002,9885112928,1704.360,0.9999,8000.000,8800.000,12000.000,0,0,0
4650,10002,9991424695,1714.659,0.9999,8200.000,9020.000,11500.000,0,0,0
4700,10002,10098536871,1714.941,0.9999,8100.000,8910.000,11000.000,0,0,0
4750,10002,10207132811,1712.811,0.9999,8100.000,8910.000,11900.000,0,0,0
4800,10002,10314774454,1723.443,0.9999,8100.000,8910.000,12100.000,0,0,0
4850,10002,10421874972,1727.635,0.9999,8400.000,9240.000,13300.000,0,0,0
4900,10002,10529779362,1726.455,0.9999,8000.000,8800.000,13900.000,0,0,0
4950,10002,10637012260,1727.308,0.9999,8200.000,9020.000,13300.000,0,0,0
5000,10003,10745076669,1733.859,0.9999,8200.000,9020.000,12100.000,0,0,0
5060,10003,10874163281,1736.888,0.9999,8200.000,9020.000,13300.000,0,0,0
5120,10003,11003127354,1740.171,0.9999,8400.000,9240.000,14100.000,0,0,0
5180,10003,11131213029,1746.550,0.9999,8200.000,9020.000,13000.000,0,0,0
5240,10003,11259878353,1749.460,0.9999,8200.000,9020.000,12500.000,0,0,0
5300,10003,11390209286,1760.585,0.9999,8100.000,8910.000,11600.000,0,0,0
5360,10003,11518401168,1764.672,0.9999,8200.000,9020.000,12500.000,0,0,0
5420,10003,11647630679,1764.573,0.9999,8200.000,9020.000,13500.000,0,0,0
5480,10003,11776183082,1766.755,0.9999,8500.000,9350.000,15000.000,0,0,0
5540,10003,11905342839,1771.488,0.9999,8100.000,8910.000,13100.000,0,0,0
5600,10003,12034553379,1773.753,0.9999,8400.000,9240.000,12800.000,0,0,0
5660,10003,12163657570,1779.708,0.9999,8200.000,9020.000,13600.000,0,0,0
5720,10003,12293282995,1784.570,0.9999,8600.000,9460.000,12800.000,0,0,0
5780,10003,12421841975,1792.385,0.9999,8400.000,9240.000,12100.000,0,0,0
5840,10000,12546486672,1790.589,0.9999,8400.000,9240.000,12200.000,0,0,0
